Date,Description,Debit,Credit,Balance
05/08/2023,Salary,1167.85,,999998832.15
06/08/2023,Salary,1849.28,,999996982.87
06/08/2023,Vendor Payment,2465.55,,999994517.33
06/08/2023,NEFT,5777.13,,999988740.20
06/08/2023,NEFTIN ,,1509.27,999990249.47
06/08/2023,NEFTIN ,,87.65,999990337.12
07/08/2023,TRANSFER ,,729.93,999991067.05
07/08/2023,NEFTIN ,,7874.92,999998941.98
07/08/2023,Cash Deposit ,,5312.04,1000004254.01
07/08/2023,Cash Deposit ,,3566.43,1000007820.44
07/08/2023,NEFTIN ,,7775.09,1000015595.52
08/08/2023,Cash Deposit ,,2730.47,1000018325.99
08/08/2023,AWS bill,8727.33,,1000009598.66
08/08/2023,NEFTIN ,,3391.78,1000012990.43
08/08/2023,Salary,7568.68,,1000005421.76
08/08/2023,Salry,6908.20,,999998513.56
09/08/2023,TRANSFER ,,2902.67,1000001416.23
09/08/2023,NEFT,6829.64,,999994586.58
09/08/2023,AWS bill,222.53,,999994364.05
09/08/2023,TRANSFER ,,7807.07,1000002171.13
09/08/2023,Salary,8577.63,,999993593.50
10/08/2023,TRANSFER ,,7609.92,1000001203.42
10/08/2023,Salry,2010.26,,999999193.16
10/08/2023,NEFT,1203.60,,999997989.56
10/08/2023,NEFTIN ,,5854.98,1000003844.55
10/08/2023,facebook ADs,4584.86,,999999259.68
11/08/2023,Cash Deposit ,,9921.55,1000009181.24
11/08/2023,Salry,9712.39,,999999468.85
11/08/2023,Salry,3270.88,,999996197.97
11/08/2023,Payment Gateway ,,2128.83,999998326.80
11/08/2023,NEFTIN ,,8636.92,1000006963.72
12/08/2023,Salary,9672.64,,999997291.08
12/08/2023,Vendor Payment,3716.81,,999993574.27
12/08/2023,NEFTIN ,,4418.28,999997992.55
12/08/2023,CHEQUE DEPOSIT ,,3701.14,1000001693.69
12/08/2023,Salry,2907.29,,999998786.40
13/08/2023,Google Ads,4464.06,,999994322.35
13/08/2023,Vendor Payment,9363.78,,999984958.57
13/08/2023,Salry,8410.77,,999976547.80
13/08/2023,NEFT,6857.93,,999969689.87
13/08/2023,Razorpay ,,6155.80,999975845.67
14/08/2023,Payment Gateway ,,8740.87,999984586.53
14/08/2023,Salary,3266.42,,999981320.11
14/08/2023,TRANSFER,1528.54,,999979791.56
14/08/2023,Vendor Payment,6086.07,,999973705.50
14/08/2023,Salry,3689.78,,999970015.72
15/08/2023,NEFT ,,2701.31,999972717.02
15/08/2023,AWS bill,3378.79,,999969338.23
15/08/2023,Payment Gateway ,,9240.89,999978579.13
15/08/2023,Salry,7207.08,,999971372.04
15/08/2023,NEFT,1910.13,,999969461.91
16/08/2023,TRANSFER ,,3241.46,999972703.37
16/08/2023,CHEQUE DEPOSIT ,,3757.52,999976460.89
16/08/2023,Salry,4908.02,,999971552.87
16/08/2023,CHEQUE DEPOSIT ,,6372.40,999977925.27
16/08/2023,Google Ads,3302.49,,999974622.78
17/08/2023,Salary,4061.55,,999970561.23
17/08/2023,Cash Deposit ,,7240.76,999977802.00
17/08/2023,NEFT ,,6299.71,999984101.70
17/08/2023,Google Ads,3961.02,,999980140.69
17/08/2023,facebook ADs,3436.13,,999976704.56
18/08/2023,CHEQUE DEPOSIT ,,1101.36,999977805.91
18/08/2023,Google Ads,170.82,,999977635.10
18/08/2023,Google Ads,1867.76,,999975767.34
18/08/2023,TRANSFER ,,3285.64,999979052.98
18/08/2023,Cash Deposit ,,2596.87,999981649.85
19/08/2023,Payment Gateway ,,1430.05,999983079.90
19/08/2023,Salary,4544.35,,999978535.54
19/08/2023,Vendor Payment,3125.06,,999975410.48
19/08/2023,Razorpay ,,1441.33,999976851.82
19/08/2023,Cash Deposit ,,2203.23,999979055.05
20/08/2023,Salry,7792.72,,999971262.33
20/08/2023,Razorpay ,,7271.52,999978533.85
20/08/2023,NEFT,39.29,,999978494.56
20/08/2023,TRANSFER ,,5478.89,999983973.45
20/08/2023,Google Ads,3617.41,,999980356.03
21/08/2023,Razorpay ,,5316.95,999985672.98
21/08/2023,TRANSFER ,,1763.93,999987436.91
21/08/2023,Vendor Payment,3662.97,,999983773.95
21/08/2023,Salary,4299.53,,999979474.42
21/08/2023,Google Ads,7735.38,,999971739.03
22/08/2023,TRANSFER,5750.21,,999965988.83
22/08/2023,Payment Gateway ,,8531.13,999974519.96
22/08/2023,Vendor Payment,1630.25,,999972889.71
22/08/2023,NEFT ,,4012.64,999976902.35
22/08/2023,Cash Deposit ,,7944.91,999984847.26
