Date,Description,Debit,Credit,Balance
05/08/2023,NEFTIN ,,6361.88,1000006361.88
06/08/2023,TRANSFER,4619.46,,1000001742.42
06/08/2023,Cash Deposit ,,1316.36,1000003058.78
06/08/2023,CHEQUE DEPOSIT ,,1395.33,1000004454.11
06/08/2023,NEFT,8824.90,,999995629.21
06/08/2023,TRANSFER,143.84,,999995485.37
07/08/2023,TRANSFER ,,4420.83,999999906.19
07/08/2023,TRANSFER,1811.64,,999998094.56
07/08/2023,NEFTIN ,,8337.09,1000006431.65
07/08/2023,TRANSFER ,,77.38,1000006509.02
07/08/2023,NEFT ,,9072.18,1000015581.20
08/08/2023,Google Ads,9005.36,,1000006575.85
08/08/2023,CHEQUE DEPOSIT ,,5201.09,1000011776.94
08/08/2023,AWS bill,6046.50,,1000005730.44
08/08/2023,Razorpay ,,1751.49,1000007481.93
08/08/2023,AWS bill,1385.02,,1000006096.91
09/08/2023,Salary,9387.35,,999996709.56
09/08/2023,Cash Deposit ,,1079.89,999997789.45
09/08/2023,Salary,1342.12,,999996447.33
09/08/2023,Payment Gateway ,,6942.71,1000003390.04
09/08/2023,AWS bill,9816.11,,999993573.93
10/08/2023,facebook ADs,6545.33,,999987028.61
10/08/2023,Salry,9367.06,,999977661.55
10/08/2023,NEFTIN ,,4735.49,999982397.04
10/08/2023,NEFT,3926.01,,999978471.03
10/08/2023,NEFT ,,4195.20,999982666.22
11/08/2023,NEFTIN ,,100.06,999982766.29
11/08/2023,TRANSFER,6675.57,,999976090.72
11/08/2023,TRANSFER ,,5643.56,999981734.28
11/08/2023,NEFT ,,9605.59,999991339.87
11/08/2023,Vendor Payment,6160.66,,999985179.21
12/08/2023,NEFT ,,1781.40,999986960.61
12/08/2023,TRANSFER,7507.56,,999979453.05
12/08/2023,AWS bill,4028.90,,999975424.15
12/08/2023,CHEQUE DEPOSIT ,,3628.56,999979052.71
12/08/2023,Payment Gateway ,,6501.49,999985554.20
13/08/2023,CHEQUE DEPOSIT ,,876.00,999986430.20
13/08/2023,CHEQUE DEPOSIT ,,44.25,999986474.44
13/08/2023,AWS bill,8505.48,,999977968.96
13/08/2023,TRANSFER,9632.11,,999968336.85
13/08/2023,Salry,2432.50,,999965904.36
14/08/2023,NEFT ,,2149.55,999968053.91
14/08/2023,Salary,853.34,,999967200.57
14/08/2023,AWS bill,916.35,,999966284.22
14/08/2023,Cash Deposit ,,8683.83,999974968.05
14/08/2023,Google Ads,3214.94,,999971753.11
15/08/2023,Razorpay ,,6411.10,999978164.20
15/08/2023,TRANSFER ,,1465.04,999979629.24
15/08/2023,Razorpay ,,9088.20,999988717.44
15/08/2023,Payment Gateway ,,9179.26,999997896.70
15/08/2023,Google Ads,5895.88,,999992000.82
16/08/2023,Vendor Payment,7667.92,,999984332.89
16/08/2023,Salry,6231.34,,999978101.56
16/08/2023,Cash Deposit ,,5814.06,999983915.62
16/08/2023,Vendor Payment,6484.11,,999977431.50
16/08/2023,Payment Gateway ,,6053.82,999983485.32
17/08/2023,Payment Gateway ,,5059.00,999988544.32
17/08/2023,TRANSFER ,,320.25,999988864.57
17/08/2023,NEFTIN ,,1568.99,999990433.56
17/08/2023,TRANSFER ,,1153.52,999991587.08
17/08/2023,TRANSFER ,,2550.36,999994137.44
18/08/2023,Salry,4753.16,,999989384.29
18/08/2023,Payment Gateway ,,5986.07,999995370.36
18/08/2023,NEFTIN ,,5681.59,1000001051.95
18/08/2023,Google Ads,6011.16,,999995040.78
18/08/2023,Cash Deposit ,,1578.14,999996618.92
19/08/2023,AWS bill,166.03,,999996452.89
19/08/2023,Salary,5800.86,,999990652.04
19/08/2023,TRANSFER ,,4894.84,999995546.88
19/08/2023,NEFT ,,9476.35,1000005023.23
19/08/2023,facebook ADs,7312.00,,999997711.23
20/08/2023,Salary,8540.95,,999989170.28
20/08/2023,AWS bill,6423.53,,999982746.76
20/08/2023,TRANSFER,3780.96,,999978965.80
20/08/2023,TRANSFER,4952.64,,999974013.16
20/08/2023,NEFTIN ,,3220.27,999977233.44
21/08/2023,Salary,4975.13,,999972258.31
21/08/2023,Salary,394.11,,999971864.20
21/08/2023,NEFT ,,2435.51,999974299.72
21/08/2023,Payment Gateway ,,4046.10,999978345.81
21/08/2023,Salary,1388.38,,999976957.43
22/08/2023,facebook ADs,9578.40,,999967379.04
22/08/2023,Google Ads,141.23,,999967237.81
22/08/2023,NEFTIN ,,5551.99,999972789.80
22/08/2023,Google Ads,7818.82,,999964970.98
22/08/2023,NEFT,7206.05,,999957764.93
23/08/2023,Salry,4008.78,,999953756.15
23/08/2023,CHEQUE DEPOSIT ,,1748.99,999955505.14
23/08/2023,Google Ads,1057.48,,999954447.66
23/08/2023,AWS bill,9822.71,,999944624.94
23/08/2023,Vendor Payment,5479.15,,999939145.79
24/08/2023,Cash Deposit ,,3363.32,999942509.11
24/08/2023,Razorpay ,,5852.32,999948361.43
24/08/2023,NEFTIN ,,7661.38,999956022.81
24/08/2023,Vendor Payment,5970.34,,999950052.47
24/08/2023,Vendor Payment,3322.56,,999946729.91
25/08/2023,Payment Gateway ,,888.58,999947618.48
25/08/2023,Vendor Payment,1369.66,,999946248.83
25/08/2023,Salary,4044.92,,999942203.90
25/08/2023,NEFTIN ,,6625.18,999948829.09
25/08/2023,Payment Gateway ,,1252.88,999950081.97
26/08/2023,NEFTIN ,,5296.12,999955378.09
26/08/2023,facebook ADs,1846.06,,999953532.02
26/08/2023,Razorpay ,,8029.06,999961561.08
26/08/2023,NEFT,7720.81,,999953840.27
26/08/2023,Vendor Payment,3914.76,,999949925.51
27/08/2023,facebook ADs,9433.49,,999940492.02
27/08/2023,Salary,7272.72,,999933219.30
27/08/2023,Google Ads,3277.67,,999929941.63
27/08/2023,NEFTIN ,,949.62,999930891.25
27/08/2023,AWS bill,7247.67,,999923643.58
28/08/2023,NEFT ,,7644.82,999931288.40
28/08/2023,Payment Gateway ,,3210.33,999934498.73
28/08/2023,TRANSFER ,,8487.18,999942985.91
28/08/2023,AWS bill,652.90,,999942333.01
28/08/2023,Google Ads,5.14,,999942327.86
29/08/2023,Cash Deposit ,,8519.99,999950847.85
29/08/2023,Razorpay ,,5159.22,999956007.08
29/08/2023,Razorpay ,,110.67,999956117.75
29/08/2023,Vendor Payment,6002.52,,999950115.22
29/08/2023,Cash Deposit ,,8689.21,999958804.43
30/08/2023,Cash Deposit ,,8098.50,999966902.93
30/08/2023,AWS bill,4987.40,,999961915.52
30/08/2023,Salary,5539.28,,999956376.24
30/08/2023,Cash Deposit ,,8026.87,999964403.12
30/08/2023,facebook ADs,9782.02,,999954621.10
31/08/2023,TRANSFER ,,4262.50,999958883.60
31/08/2023,NEFTIN ,,24.67,999958908.28
31/08/2023,Payment Gateway ,,8404.04,999967312.31
31/08/2023,CHEQUE DEPOSIT ,,3447.96,999970760.27
31/08/2023,Salary,2465.06,,999968295.21
01/09/2023,TRANSFER,8370.86,,999959924.36
01/09/2023,Vendor Payment,1297.04,,999958627.32
01/09/2023,Salary,1527.67,,999957099.65
01/09/2023,Salry,8550.52,,999948549.13
01/09/2023,Salry,1007.86,,999947541.27
02/09/2023,Google Ads,6214.38,,999941326.89
02/09/2023,Razorpay ,,3346.74,999944673.63
02/09/2023,Cash Deposit ,,5313.88,999949987.51
02/09/2023,AWS bill,9247.23,,999940740.28
02/09/2023,TRANSFER,3337.84,,999937402.44
03/09/2023,Razorpay ,,7066.18,999944468.62
03/09/2023,Salary,4129.42,,999940339.20
03/09/2023,facebook ADs,5695.89,,999934643.31
03/09/2023,NEFTIN ,,9724.88,999944368.19
03/09/2023,NEFT,7135.80,,999937232.38
04/09/2023,Cash Deposit ,,8489.62,999945722.00
04/09/2023,Payment Gateway ,,6661.25,999952383.25
04/09/2023,Cash Deposit ,,609.16,999952992.42
04/09/2023,NEFT ,,2257.62,999955250.04
04/09/2023,NEFT ,,3761.69,999959011.73
05/09/2023,Salary,6855.91,,999952155.81
05/09/2023,Salry,2250.29,,999949905.52
05/09/2023,Vendor Payment,7206.43,,999942699.09
05/09/2023,Cash Deposit ,,9352.48,999952051.57
05/09/2023,Razorpay ,,3143.20,999955194.77
06/09/2023,Google Ads,7139.83,,999948054.94
06/09/2023,NEFTIN ,,2812.50,999950867.44
06/09/2023,Salry,9436.30,,999941431.14
06/09/2023,AWS bill,1016.54,,999940414.60
06/09/2023,CHEQUE DEPOSIT ,,171.85,999940586.45
07/09/2023,NEFTIN ,,749.22,999941335.67
07/09/2023,AWS bill,4518.19,,999936817.47
07/09/2023,TRANSFER,2527.77,,999934289.70
07/09/2023,AWS bill,3985.42,,999930304.28
07/09/2023,Salry,6500.51,,999923803.77
08/09/2023,NEFTIN ,,6303.02,999930106.79
08/09/2023,Vendor Payment,4178.85,,999925927.94
08/09/2023,facebook ADs,3273.21,,999922654.73
08/09/2023,Salry,7951.24,,999914703.49
08/09/2023,Salry,5260.71,,999909442.77
09/09/2023,NEFTIN ,,7233.77,999916676.54
09/09/2023,NEFT ,,657.66,999917334.21
09/09/2023,Google Ads,5576.76,,999911757.45
09/09/2023,Razorpay ,,2802.92,999914560.37
09/09/2023,Salry,6509.83,,999908050.54
10/09/2023,Razorpay ,,5881.34,999913931.88
10/09/2023,Salary,3879.97,,999910051.91
10/09/2023,NEFT ,,1544.82,999911596.72
10/09/2023,TRANSFER ,,7689.17,999919285.90
10/09/2023,TRANSFER ,,8163.86,999927449.76
11/09/2023,Razorpay ,,5637.27,999933087.03
11/09/2023,NEFT,4153.73,,999928933.30
11/09/2023,Razorpay ,,6955.65,999935888.94
11/09/2023,Razorpay ,,6438.19,999942327.13
11/09/2023,Payment Gateway ,,9437.78,999951764.91
12/09/2023,Salry,3563.48,,999948201.43
12/09/2023,Vendor Payment,3802.71,,999944398.72
12/09/2023,Salary,8547.36,,999935851.36
12/09/2023,Google Ads,5248.73,,999930602.63
12/09/2023,facebook ADs,8249.08,,999922353.55
13/09/2023,Payment Gateway ,,4359.26,999926712.80
13/09/2023,CHEQUE DEPOSIT ,,211.04,999926923.84
13/09/2023,Razorpay ,,3935.24,999930859.08
13/09/2023,Salry,1530.54,,999929328.54
13/09/2023,Vendor Payment,236.82,,999929091.73
14/09/2023,Cash Deposit ,,4301.00,999933392.73
14/09/2023,facebook ADs,4471.51,,999928921.21
14/09/2023,Google Ads,8866.46,,999920054.75
14/09/2023,Cash Deposit ,,3291.49,999923346.25
