Date,Description,Debit,Credit,Balance
05/08/2023,Vendor Payment,8531.73,,999991468.27
06/08/2023,Razorpay ,,1631.29,999993099.56
06/08/2023,NEFTIN ,,2182.74,999995282.31
06/08/2023,Cash Deposit ,,9172.51,1000004454.82
06/08/2023,Salry,5113.41,,999999341.41
06/08/2023,NEFT ,,4425.77,1000003767.17
07/08/2023,CHEQUE DEPOSIT ,,4341.53,1000008108.70
07/08/2023,Salary,5995.56,,1000002113.14
07/08/2023,Cash Deposit ,,579.27,1000002692.41
07/08/2023,AWS bill,4346.80,,999998345.61
07/08/2023,TRANSFER,163.09,,999998182.53
08/08/2023,AWS bill,1922.73,,999996259.80
08/08/2023,Google Ads,9335.20,,999986924.60
08/08/2023,NEFT,8970.71,,999977953.89
08/08/2023,Payment Gateway ,,9434.71,999987388.60
08/08/2023,NEFT ,,6897.15,999994285.75
09/08/2023,Cash Deposit ,,8891.62,1000003177.38
09/08/2023,NEFT,7478.22,,999995699.15
09/08/2023,facebook ADs,6410.15,,999989289.00
09/08/2023,facebook ADs,5804.87,,999983484.13
09/08/2023,AWS bill,8268.19,,999975215.94
10/08/2023,TRANSFER,7125.04,,999968090.90
10/08/2023,NEFT ,,4535.60,999972626.50
10/08/2023,Cash Deposit ,,8249.24,999980875.74
10/08/2023,Razorpay ,,6450.89,999987326.63
10/08/2023,Salry,3272.76,,999984053.87
11/08/2023,NEFT ,,2420.87,999986474.74
11/08/2023,TRANSFER,1761.12,,999984713.62
11/08/2023,Vendor Payment,6806.10,,999977907.52
11/08/2023,AWS bill,6557.31,,999971350.21
11/08/2023,Salry,5081.81,,999966268.40
12/08/2023,CHEQUE DEPOSIT ,,7307.39,999973575.79
12/08/2023,NEFT ,,4812.47,999978388.26
12/08/2023,TRANSFER ,,9420.36,999987808.62
12/08/2023,Salry,7773.64,,999980034.98
12/08/2023,NEFT,9097.44,,999970937.53
13/08/2023,Salary,7274.17,,999963663.37
13/08/2023,NEFTIN ,,6514.13,999970177.50
13/08/2023,Salry,5759.96,,999964417.53
13/08/2023,CHEQUE DEPOSIT ,,9332.32,999973749.85
13/08/2023,TRANSFER,7850.32,,999965899.54
14/08/2023,facebook ADs,4835.85,,999961063.69
14/08/2023,facebook ADs,3294.58,,999957769.10
14/08/2023,Razorpay ,,8903.83,999966672.94
14/08/2023,Razorpay ,,9199.12,999975872.06
14/08/2023,Cash Deposit ,,4285.51,999980157.57
15/08/2023,NEFTIN ,,2787.22,999982944.79
15/08/2023,NEFT ,,9178.33,999992123.13
15/08/2023,AWS bill,1988.50,,999990134.63
15/08/2023,AWS bill,880.11,,999989254.52
15/08/2023,NEFT,6090.29,,999983164.23
16/08/2023,CHEQUE DEPOSIT ,,3127.43,999986291.66
16/08/2023,Salry,6350.05,,999979941.60
16/08/2023,Razorpay ,,2106.04,999982047.64
16/08/2023,TRANSFER,2492.06,,999979555.59
16/08/2023,Salry,6194.33,,999973361.25
17/08/2023,Cash Deposit ,,404.02,999973765.27
17/08/2023,TRANSFER ,,6567.10,999980332.38
17/08/2023,facebook ADs,3108.07,,999977224.30
17/08/2023,Salry,6213.93,,999971010.38
17/08/2023,NEFT,717.30,,999970293.07
18/08/2023,NEFTIN ,,4407.41,999974700.48
18/08/2023,NEFT ,,9895.54,999984596.02
18/08/2023,CHEQUE DEPOSIT ,,4587.44,999989183.46
18/08/2023,Razorpay ,,2510.32,999991693.78
18/08/2023,Payment Gateway ,,6837.74,999998531.52
19/08/2023,Payment Gateway ,,9868.86,1000008400.38
19/08/2023,facebook ADs,1138.83,,1000007261.54
19/08/2023,Payment Gateway ,,9110.42,1000016371.96
19/08/2023,facebook ADs,7017.22,,1000009354.74
19/08/2023,NEFTIN ,,9823.96,1000019178.70
20/08/2023,CHEQUE DEPOSIT ,,6313.21,1000025491.90
20/08/2023,Salry,20.53,,1000025471.38
20/08/2023,Payment Gateway ,,9201.17,1000034672.55
20/08/2023,Payment Gateway ,,4045.00,1000038717.55
20/08/2023,TRANSFER ,,9638.18,1000048355.73
21/08/2023,facebook ADs,9765.81,,1000038589.93
21/08/2023,NEFT ,,6926.08,1000045516.01
21/08/2023,TRANSFER ,,5916.22,1000051432.23
21/08/2023,NEFT,2450.48,,1000048981.75
21/08/2023,Cash Deposit ,,664.84,1000049646.59
22/08/2023,TRANSFER,5946.49,,1000043700.11
22/08/2023,Salary,2094.14,,1000041605.96
22/08/2023,AWS bill,5470.35,,1000036135.62
22/08/2023,Salry,7515.51,,1000028620.11
22/08/2023,Salary,9723.52,,1000018896.58
23/08/2023,AWS bill,2413.21,,1000016483.37
23/08/2023,TRANSFER,68.61,,1000016414.77
23/08/2023,Razorpay ,,4995.00,1000021409.77
23/08/2023,NEFT ,,8977.05,1000030386.82
